"ssp_names","counts"
"bentonic forams   ","988"
"Candeina nitida ","20"
"Globanomalina praepumilio ","22"
"Globigerina decoraperta ","23"
"Globigerina falconensis ","4"
"Globigerina nepenthes ","62"
"Globigerina nepenthes, apertura, obliquus, hexagona, bollii? ","18"
"Globigerina nepenthes, glutinata, cf tenellus ","37"
"Globigerinatella insueta ","9"
"Globigerinella aequilateralis  ","1"
"Globigerinoides bollii ","14"
"Globigerinoides glomerosa circularis","2"
"Globigerinoides mitra ","19"
"Globigerinoides obliqua ","0"
"Globigerinoides obliquus ","9"
"Globigerinoides obliquus, bollii, elongatus ","36"
"Globigerinoides obliquus, bollii? ","11"
"Globigerinoides ruber  ","13"
"Globigerinoides ruber, obliquus, bollii ","54"
"Globigerinoides sacculifer fistulosa ","2"
"Globigerinoides sacculifera ","0"
"Globigerinoides, Particulesphaera(?)  ","110"
"Globoquadrina acostaensis ","6"
"Globoquadrina altispira ","127"
"Globoquadrina altispira cf. globosa ","5"
"Globoquadrina altispira, hexagona,inflata, hirsuta ","8"
"Globoquadrina dehiscens ","18"
"Globoquadrina hexagona ","4"
"Globoquadrina humerosa ","76"
"Globoquadrina pseudofoliata ","49"
"Globoquadrina venezuelana ","122"
"Globorotalia anfracta ","1"
"Globorotalia anfracta? ","1"
"Globorotalia fohsi barisanensis","12"
"Globorotalia inflata ","44"
"Globorotalia inflata, tosaensis, crassaformis ","150"
"Globorotalia mayeri ","22"
"Globorotalia menardii e flexuosa ","27"
"Globorotalia menardii flexuosa","57"
"Globorotalia menardii miocenica","47"
"Globorotalia menardii multicamerata","163"
"Globorotalia menardii multicamerata + flex.","64"
"Globorotalia menardii, miocenica, multicamerata ","5"
"Globorotalia menardii, tumida, flexuosa, multicamerata ","32"
"Globorotalia menardii, tumida, miocenica ","19"
"Globorotalia multicamerata ","31"
"Globorotalia scitula praescitula","8"
"Globorotalia tosaensis ","23"
"Globorotalia tosaensis, truncatulinoides ","67"
"Globorotalia truncatulinoides, sp. ","113"
"Oligocene foraminifera  ","291"
"Orbulinidae  ","15"
"Pulleniatina obliquiloculata cf. primalis ","5"
"Pulleniatina obliquiloculata, primalis ","19"
"Pulleniatina primalis ","41"
"Pulleniatina spectabilis ","27"
"Sphaeroidinella seminulina ","13"
"Sphaeroidinella seminulina, dehiscens ","48"
"Sphaeroidinella subdehiscens ","16"
"Sphaeroidinella subdehiscens, dehiscens, seminulina ","37"
"unknowns Pleistocene  ","33"
"unknows Miocene  ","66"
"unknows Pliocene  ","262"
"various  ","570"
