"lon","lat","depth"
-110.68333,-9.88333,-2712
-14.03333,-21.25,-3740
-124.28,-13.09167,-3456
-120.68,-14.27333,-3617
-131.31667,5.43333,-3415
-79.34167,-18.33333,-3157
-112.1,-14.73333,-3034
66.03333,-16.41667,-2810
63.0425,7.19333,-4346
-118.225,-23.60833,-3362
64.63333,-19.56667,-2708
64.125,-12.11667,-3322
73.80417,7.08333,-2658
67.38333,-2.70167,-3594
61.48333,-7.59167,-3507
65.63333,-8.41667,-3694
56.30417,-23.23472,-4646
54.1,-29.93333,-4211
110.39167,-24.89167,-3829
111.18167,-26.93667,-3350
112.45833,-28.00833,-1206
-19.36667,25.86667,-3668
-17.45,28.05417,-2167
-20.23333,25.75,-3233
-24.46667,24.33333,-5153
68.84028,20.44222,-2680
147,-0.7,-2213
-174.625,-9.68333,-4057
-161.83667,1.21333,-4634
178.01444,-10.21472,-4844
-175.68833,-13.17167,-3952
-179.0625,-15.65,-2519
65.51667,3.86667,-3663
-45.35,21.2,-3182
-34.4,-9.75,-4123
-72.85,21.11667,-2910
-117.50667,-15.21833,-3641
-109.83333,-27.15,-2819
-175.23333,-20.95,-124
5.41667,-7.6,-5067
79.56667,-8.61667,-5228
62.06667,-18.35,-3407
113.36667,-18.38333,-1590
111.6,-26.08333,-1056
-119.18333,-14.26667,-3735
113.05,-16.65,-2506
123.06667,-50.01667,-3976
-107.6,-43.71667,-3141
-147.11667,-26.31667,-2312
-123,-46.75,-4030
-113.28333,-48.475,-2677
-106.91667,-27.93333,-3039
170,-28.88333,-3021
173.83333,-33.88333,-2464
167.75,-39.76667,-1137
169.86667,-53.63333,-746
-48.41667,17.275,-3881
-40.66667,13.25,-4298
-77.93333,28.4,-1004
-50.23333,-44.23333,-5476
-147.95,-42.5,-5376
-144.73333,-40,-5367
-77.51667,28.5,-1134
49.81667,-40.45,-3780
-49.71667,-42,-5094
112.51667,-24.5,-114
111.56667,-26.91667,-2096
113.28333,-28.21667,-431
113.1,-23.95,-98
112.98333,-28.36667,-866
-173.73333,-19.475,-4347
-39.38333,26.7,-4741
112.73333,-15.66667,-4291
-48.18333,-40.5,-5324
-45.33333,-37.5,-5120
86.2,13.13333,-3151
-16.16889,60.48528,-2419
-52.71667,-47.5,-6077
-144.76667,-40,-5376
113.1,-28.933333,-2746
114.68333,-30.7,-210
114.63333,-30.5,-298
-4.08333,35.68333,-1500
-157.66667,34.75,-5962
-160.71667,35.66667,-5923
-163.76667,36.58333,-5450
-167.9,85.25,-1774
-159.83667,77.075,-2056
-50.83333,60.03333,-3203
-166.5,-64.55833,-2846
-178.78333,-66.63333,-3511
-64.71389,-61.25,-3314
-164.35833,77.69167,-287
-144.65,51.51667,-4054
-53.61667,-49.18333,-2126
-115.27833,-62.96167,-5129
-115.06667,-65.85667,-4825
-115.08333,-70.04,-3715
-115.52,-66.87667,-4721
-161.91667,53.25,-6659
-176.15,52.48333,-3388
-170.13333,45.1,-6359
31.35333,-68.32,-974
10.58333,38.86667,-2643
45.66667,-42.65,-2939
-50.26667,-44,-5430
69.73333,16.90333,-3622
75.21667,8.18333,-2472
77.71667,6.86667,-2284
114.61667,-30.43333,-270
112.56667,-6.38333,-30
114.41667,-6.73333,-77
-109.71667,-11.7,-3296
80.13333,4.3,-4379
80.13333,5.91667,-70
113.38333,-18.38333,-1590
92.75,5.11667,-4406
88.11667,5.18333,-3936
5.16667,77.96667,-2468
-108.15,-43.8,-3132
-82.33333,23.16667,-136
-71.05,40.1,-157
62.88333,23.15,-2775
72.13333,17.3,-123
-78.3,-33.7,-3798
66.93333,6.91667,-3716
85.61667,5.43333,-4025
77.98,1.97,-4375
-117.38167,32.6,-210
-85.05,-14.98333,-4865
-43,-31.15,-3846
69.16667,18.63333,-3261
-43.56667,-28.18333,-3537
79.93333,-14.83333,-4968
70.83333,13.59667,-2809
113.05,-16.63333,-2506
73.21667,12.31667,-2236
115.61667,-7.73333,-1335
-9.83333,1.16667,-4809
114,-13.51667,-5228
-117.23,-15.925,-3225
-3.983333,4.483333,-2800
96.183333,7.516667,-806
-18.216667,33.216667,-3194
56.283333,-4.341667,-34
-123,-46,-4012
83.633333,5.566667,-4052
72.73667,14.30833,-2016
118.585,4.85,-4
-4.06667,0.96667,-5111
80.11667,5.91667,-70
114.43333,-6.71667,-77
114.01667,-13.53333,-5222
112.98333,-28.38333,-866
111.56667,-26.08333,-1155
112.51667,-24.55,-114
167.23333,2.93333,-4436
118.725,4.785,-15
41.18333,-4.19083,-1974
-44.28333,-28.18333,-3523
-43,-30.51667,-3889
90.36667,5.067,-3295
-43,-28.18333,-3012
-4.11667,0.5,-5122
-48.26667,9.55,-4756
-12,2.617,-4431
70.833,13.93,-2503
-17.483,10.483,-621
-74.8,16.6,-3055
168.033,-4.517,-3244
144.333,7.75,-3063
112.43333,-22.35,-3340
118.62,4.805,-5
-64.81667,32.15,-3141
-6.05,-39.70833,-801
-76.6,18.233,255
-33.158,2.9,-3543
88.683,-17.2,-2741
73.083,-24.7,-4413
145.767,15.217,-126
167.233,2.933,-4436
162.1,10.3,-1588
-131,6.9,-4391
-133.112,14.373,-5167
-0.25,-41.967,-624
13.092,36.543,-1620
-59.555147,13.221083,255
-78.683,30.9,-821
-18.775,56.683,-1306
-70.242,39.208,-2731
-15.942,-0.027,-3226
-94.817,-60.233,-4535
2.88333,68.48333,-2769
-27.61667,62.35,-1472
-156.45,-77,-155
166.43333,51.78333,-3359
-17.6,-37.86667,-2392
-2.23333,73.16667,-2442
94.78333,-64.3,-2514
45.53333,-37.15,-3663
1.1,70.36667,-3220
-118.31667,33.45556,-845
