"species","abund_tow","sample_tow","coord_tow","abund_top_core","sample_top_core","coord_top_core","abund_deep_core","sample_deep_core","coord_deep_core","abund_no_info","sample_no_info","coord_no_info","abund_land","sample_land","coord_land","abund_total","sample_total","coord_total"
"adamsi",7,2,2,2,2,2,6,6,1,5,5,5,0,0,0,20,15,8
"bulloides",91,10,10,269,7,7,1764,25,7,189,9,9,0,0,0,2313,51,31
"calida",29,10,10,39,6,6,12,2,1,65,9,9,0,0,0,145,27,25
"conglobatus",24,13,13,184,16,16,1100,48,13,326,24,24,0,0,0,1634,101,60
"conglomerata",1,1,1,70,12,12,190,14,4,82,13,13,0,0,0,343,40,28
"crassaformis",1,1,1,162,10,10,370,25,7,107,13,13,0,0,0,640,49,27
"dehiscens",0,0,0,80,12,12,765,40,13,170,21,21,7,1,1,1022,74,41
"digitata",0,0,0,28,7,7,87,26,8,49,14,14,0,0,0,164,47,25
"dutertrei",0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,7,1,1
"falconensis",12,1,1,38,4,4,22,2,1,73,7,7,4,1,1,149,15,13
"hexagona",9,2,2,54,11,11,152,24,7,47,8,8,4,1,1,266,46,26
"hirsuta",4,2,2,37,3,3,204,25,6,92,5,5,0,0,0,337,35,14
"humilis",0,0,0,107,9,9,84,8,2,50,6,6,0,0,0,241,23,14
"inflata",149,11,11,254,9,9,1170,14,5,498,16,16,0,0,0,2071,50,36
"menardii",529,34,34,183,9,9,2021,47,12,675,25,25,0,0,0,3408,115,75
"obliquiloculata",122,27,27,111,14,14,613,31,10,238,21,21,0,0,0,1084,93,67
"pachyderma",246,9,9,328,6,6,1719,22,6,1222,34,34,0,0,0,3515,71,50
"quinqueloba",0,0,0,19,2,2,45,8,2,49,5,5,0,0,0,113,15,9
"ruber",392,34,34,358,17,17,2551,57,14,399,23,23,0,0,0,3700,131,81
"rubescens",2,1,1,95,9,9,339,31,6,79,11,11,0,0,0,515,52,23
"sacculifera",470,34,34,285,15,15,1881,41,12,477,24,24,0,0,0,3113,114,79
"scitula",8,1,1,69,9,9,50,13,4,71,12,12,8,1,1,206,36,25
"siphonifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tenellus",2,1,1,85,9,9,434,24,9,101,11,11,0,0,0,622,45,26
"trilobus",47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47,1,1
"truncatulinoides",182,13,13,162,11,11,705,31,10,309,21,21,0,0,0,1358,76,51
"tumida",29,5,5,85,9,9,294,23,6,157,15,15,0,0,0,565,52,31
"universa",36,8,8,75,7,7,444,30,7,45,8,8,0,0,0,600,53,24
